,Accuracy,F-measure
DS1,0.5651282051,0.2031601732
DS2,0.5096078431,0.3294085094
DS3,0.546091954,0.2323969176
DS4,0.4774126984,0.2304278177
DS5,0.5071315315,0.2617957819
DS6,0.5990942029,0.1862040655
DS7,0.356,inf
DS8,0.7492513369,0.07886696637
DS9,0.4408087432,0.2434393331
DS10,0.5864707419,0.154655692
DS11,0.5676782646,0.2221626744
DS12,0.5971428571,inf
DS13,0.55,inf
DS14,0.3656060606,0.2706808747
DS15,0.5642,0.1543934136
DS16,0.5899365079,0.2030098825
DS17,0.5237566138,0.2005897192
DS18,0.4331612903,0.2260556999
DS19,0.5066129032,0.211534083
DS20,0.4968768769,0.1797268839
DS21,0.7348897959,0.03593165747
DS22,0.4,inf
DS23,0.6418681319,0.3623152403
DS24,0.4605454545,0.2418121878
DS25,0.3677619048,0.1532405778
DS26,0.4454210526,0.3402512328
DS27,0.3934,0.3856380556
DS28,0.4294117647,0.3187272216
DS29,0.65,inf
DS30,0.6466666667,inf
DS31,0.7459247358,0.1903378535
DS32,0.7829205033,0.193643375
DS33,0.7848277253,0.1315313335
DS34,0.8488187942,0.1547111977
DS35,0.7524614235,0.1882715751
DS36,0.7584848485,0.186831775
DS37,0.6267320261,0.3324997225
DS38,0.671,inf
DS39,0.525,inf
DS40,0.57,inf
DS41,0.478,0.188987901
DS42,0.5300395257,0.3153719261
DS43,0.5338153846,0.3944889905
DS44,0.5633333333,0.118
DS45,0.37,0.24
DS46,0.599,0.3766666667
DS47,0.6255102599,0.1777278326
DS48,0.4158008658,0.4666568667
DS49,0.5490909091,0.3338438175
DS50,0.625,0.678
DS51,0.43,inf
DS52,0.5695454545,0.1804836434
DS53,0.613468599,0.1938276203
DS54,0.5804208065,0.5494820344
DS55,0.4302941176,0.2189192409
DS56,0.4566666667,inf
