,Accuracy,F-measure
DS1,0.5602564103,0.1971957672
DS2,0.4882352941,0.3108174938
DS3,0.5563218391,0.2428176405
DS4,0.4717989418,0.2285548461
DS5,0.5038198198,0.2664744699
DS6,0.5951690821,0.1910839705
DS7,0.3716666667,inf
DS8,0.7699049317,0.07512820513
DS9,0.4446357013,0.2480549603
DS10,0.5810475444,0.1515779478
DS11,0.562353236,0.2189833706
DS12,0.630952381,inf
DS13,0.5333333333,inf
DS14,0.3361111111,0.2853555704
DS15,0.5669444444,0.1502559721
DS16,0.5948677249,0.2010586234
DS17,0.5129188713,0.1899415141
DS18,0.4405376344,0.2215667108
DS19,0.4931787634,0.1993200061
DS20,0.5357607608,0.1923383766
DS21,0.7945714286,0.03688744589
DS22,0.4555555556,inf
DS23,0.6494505495,0.3664491064
DS24,0.5227272727,0.2475420875
DS25,0.379047619,0.1420415449
DS26,0.4516666667,0.3285181875
DS27,0.3922777778,0.3806587077
DS28,0.4284313725,0.3142147322
DS29,0.6444444444,inf
DS30,0.675,inf
DS31,0.7442102887,0.1899437556
DS32,0.7802903785,0.1907303403
DS33,0.7819976396,0.1330499003
DS34,0.8492774308,0.1552034296
DS35,0.7503087135,0.1863033258
DS36,0.7570707071,0.1828136946
DS37,0.6016339869,0.3140725941
DS38,0.675,inf
DS39,0.5333333333,0.2077777778
DS40,0.5666666667,inf
DS41,0.4569444444,0.1811695712
DS42,0.5424901186,0.3115160212
DS43,0.547025641,0.401774453
DS44,0.5555555556,0.1188888889
DS45,0.3777777778,0.2277777778
DS46,0.61,0.3944444444
DS47,0.6201550388,0.1784205368
DS48,0.3972582973,0.4588888514
DS49,0.5587615283,0.338918604
DS50,0.5944444444,0.6628571429
DS51,0.4666666667,inf
DS52,0.571969697,0.1852492425
DS53,0.6193558776,0.1949940398
DS54,0.5852230664,0.5483218277
DS55,0.4335784314,0.2228402045
DS56,0.4333333333,inf
