,Accuracy,F-measure
DS1,0.5778846154,0.1916269841
DS2,0.498120915,0.3109417865
DS3,0.5315804598,0.2314782899
DS4,0.4727777778,0.2245342006
DS5,0.498009009,0.2645375363
DS6,0.6120018116,0.1881115127
DS7,0.30375,inf
DS8,0.7713903743,0.06967948718
DS9,0.4436680328,0.2453300347
DS10,0.5923001567,0.1498469292
DS11,0.5660679768,0.2187403522
DS12,0.5904761905,inf
DS13,0.6,inf
DS14,0.3439393939,0.2821786547
DS15,0.5517083333,0.1556108146
DS16,0.5810515873,0.200164657
DS17,0.5270171958,0.185536631
DS18,0.4041397849,0.214518383
DS19,0.5075352823,0.1961326892
DS20,0.4972034535,0.1878396388
DS21,0.7889897959,0.03708116883
DS22,0.4166666667,inf
DS23,0.6563186813,0.3718083306
DS24,0.5388636364,0.2476406926
DS25,0.3757738095,0.1561557599
DS26,0.4465131579,0.3358019028
DS27,0.3822916667,0.3750393096
DS28,0.4279411765,0.31022377
DS29,0.625,inf
DS30,0.65,inf
DS31,0.745721717,0.1921009922
DS32,0.780956326,0.1897176725
DS33,0.7815763538,0.1307887071
DS34,0.851772026,0.1560818375
DS35,0.7494079735,0.1881637946
DS36,0.7590909091,0.1859334385
DS37,0.6074346405,0.320494783
DS38,0.68875,inf
DS39,0.53125,0.205
DS40,0.575,inf
DS41,0.42875,0.1826237651
DS42,0.5418972332,0.3082177457
DS43,0.5343846154,0.4005772847
DS44,0.5773809524,0.1225
DS45,0.3708333333,0.2166666667
DS46,0.62875,0.4116666667
DS47,0.6207387141,0.178635372
DS48,0.3890692641,0.4532209863
DS49,0.5663537549,0.3426400771
DS50,0.6,0.6677380952
DS51,0.4875,inf
DS52,0.5710227273,0.1820239856
DS53,0.6178502415,0.1950086965
DS54,0.5856370544,0.5513291044
DS55,0.4408088235,0.2197537797
DS56,0.4583333333,inf
