,Accuracy,F-measure
DS1,0.6307692308,0.1749206349
DS2,0.5277777778,0.3113146649
DS3,0.4573563218,0.1974602378
DS4,0.4757142857,0.2124722639
DS5,0.4805765766,0.2587267358
DS6,0.6625,0.1791941392
DS7,0.1,0.1466666667
DS8,0.7758467023,0.05333333333
DS9,0.4407650273,0.2371552578
DS10,0.6260579937,0.1446538733
DS11,0.5772121993,0.2180112968
DS12,0.469047619,0.08
DS13,0.8,inf
DS14,0.3674242424,0.2726479076
DS15,0.506,0.1716753422
DS16,0.5396031746,0.1974827577
DS17,0.5693121693,0.1723219814
DS18,0.2949462366,0.1933733998
DS19,0.5506048387,0.1865707384
DS20,0.3815315315,0.1743434256
DS21,0.772244898,0.03766233766
DS22,0.3,0.15
DS23,0.6769230769,0.3878860029
DS24,0.5872727273,0.2479365079
DS25,0.365952381,0.1984984048
DS26,0.4310526316,0.3576530487
DS27,0.3523333333,0.3581811152
DS28,0.4264705882,0.2982508832
DS29,0.5666666667,inf
DS30,0.575,0.4133333333
DS31,0.7502560019,0.1985727019
DS32,0.7829541683,0.1866796692
DS33,0.7803124964,0.1240051276
DS34,0.8592558116,0.1587170611
DS35,0.7467057535,0.1937452009
DS36,0.7651515152,0.1952926703
DS37,0.6248366013,0.3397613498
DS38,0.73,inf
DS39,0.525,0.1966666667
DS40,0.6,0.5333333333
DS41,0.3441666667,0.186986347
DS42,0.5401185771,0.2983229189
DS43,0.4964615385,0.3969857797
DS44,0.6428571429,0.1333333333
DS45,0.35,0.1833333333
DS46,0.685,0.4633333333
DS47,0.6224897401,0.1792798775
DS48,0.3645021645,0.4362173913
DS49,0.5891304348,0.3538044962
DS50,0.6166666667,0.6823809524
DS51,0.55,inf
DS52,0.5681818182,0.1723482147
DS53,0.6133333333,0.1950526666
DS54,0.5868790181,0.5603509346
DS55,0.4625,0.2104945055
DS56,0.5333333333,inf
